NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
221111,Hydroelectric Power Generation,00-0000,Industry Total,total,"5,610",5.5,100.00,100,34.23,"71,190",2.4,15.89,23.10,33.70,44.08,50.94,"33,050","48,050","70,100","91,680","105,950",,
221111,Hydroelectric Power Generation,11-0000,Management Occupations,major,250,8.6,4.53,16,60.20,"125,210",5.3,25.87,41.06,55.39,70.07,#,"53,810","85,400","115,210","145,740",#,,
221111,Hydroelectric Power Generation,11-1000,Top Executives,minor,180,11.2,3.15,~,59.23,"123,190",7.2,22.40,37.63,53.92,69.17,#,"46,590","78,260","112,160","143,870",#,,
221111,Hydroelectric Power Generation,11-1020,General and Operations Managers,broad,180,11.3,3.12,~,58.33,"121,330",7.2,22.33,37.42,53.68,68.36,99.44,"46,450","77,840","111,660","142,190","206,830",,
221111,Hydroelectric Power Generation,11-1021,General and Operations Managers,detailed,180,11.3,3.12,13,58.33,"121,330",7.2,22.33,37.42,53.68,68.36,99.44,"46,450","77,840","111,660","142,190","206,830",,
221111,Hydroelectric Power Generation,11-3000,Operations Specialties Managers,minor,40,12.1,0.64,~,57.46,"119,510",5.1,35.70,46.77,55.99,63.80,82.77,"74,250","97,290","116,450","132,700","172,170",,
221111,Hydroelectric Power Generation,11-9000,Other Management Occupations,minor,40,13.9,0.71,~,66.67,"138,660",11.5,34.54,48.03,59.61,84.51,#,"71,850","99,910","123,990","175,780",#,,
221111,Hydroelectric Power Generation,13-0000,Business and Financial Operations Occupations,major,250,15.6,4.44,12,33.55,"69,790",4.8,17.18,26.30,33.04,42.53,49.65,"35,740","54,700","68,730","88,470","103,280",,
221111,Hydroelectric Power Generation,13-1000,Business Operations Specialists,minor,220,15.6,3.95,~,33.97,"70,660",4.6,18.20,26.90,33.61,42.60,49.71,"37,860","55,950","69,910","88,610","103,400",,
221111,Hydroelectric Power Generation,13-1080,Logisticians,broad,40,35.1,0.63,~,43.28,"90,010",6.5,27.15,31.88,44.91,52.69,58.95,"56,470","66,310","93,400","109,590","122,620",,
221111,Hydroelectric Power Generation,13-1081,Logisticians,detailed,40,35.1,0.63,1,43.28,"90,010",6.5,27.15,31.88,44.91,52.69,58.95,"56,470","66,310","93,400","109,590","122,620",,
221111,Hydroelectric Power Generation,13-1110,Management Analysts,broad,80,19.3,1.43,~,30.09,"62,590",7.3,12.86,23.78,31.12,37.43,45.13,"26,750","49,460","64,720","77,860","93,870",,
221111,Hydroelectric Power Generation,13-1111,Management Analysts,detailed,80,19.3,1.43,2,30.09,"62,590",7.3,12.86,23.78,31.12,37.43,45.13,"26,750","49,460","64,720","77,860","93,870",,
221111,Hydroelectric Power Generation,15-0000,Computer and Mathematical Occupations,major,30,28.4,0.62,4,46.43,"96,570",6.1,22.21,27.76,46.11,65.65,75.79,"46,200","57,740","95,920","136,550","157,650",,
221111,Hydroelectric Power Generation,17-0000,Architecture and Engineering Occupations,major,410,19.3,7.38,21,41.72,"86,790",3.4,26.96,31.76,40.00,48.74,59.83,"56,070","66,060","83,210","101,390","124,460",,
221111,Hydroelectric Power Generation,17-2000,Engineers,minor,190,8.3,3.42,~,48.04,"99,920",3.2,30.38,35.95,45.61,57.53,70.42,"63,190","74,780","94,870","119,650","146,460",,
221111,Hydroelectric Power Generation,17-2050,Civil Engineers,broad,40,22.1,0.62,~,48.50,"100,890",8.4,30.42,35.36,43.70,58.37,80.17,"63,280","73,540","90,890","121,420","166,750",,
221111,Hydroelectric Power Generation,17-2051,Civil Engineers,detailed,40,22.1,0.62,3,48.50,"100,890",8.4,30.42,35.36,43.70,58.37,80.17,"63,280","73,540","90,890","121,420","166,750",,
221111,Hydroelectric Power Generation,17-2070,Electrical and Electronics Engineers,broad,110,8.3,2.00,~,48.64,"101,170",2.2,32.85,39.00,48.85,58.32,65.41,"68,330","81,120","101,610","121,300","136,040",,
221111,Hydroelectric Power Generation,17-2071,Electrical Engineers,detailed,110,8.3,2.00,6,48.64,"101,170",2.2,32.85,39.00,48.85,58.32,65.41,"68,330","81,120","101,610","121,300","136,040",,
221111,Hydroelectric Power Generation,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,220,34.8,3.93,~,36.28,"75,450",4.1,25.78,29.28,36.34,44.16,48.75,"53,620","60,900","75,590","91,860","101,410",,
221111,Hydroelectric Power Generation,17-3020,"Engineering Technicians, Except Drafters",broad,200,37.6,3.63,~,36.24,"75,370",4.3,25.76,29.31,36.41,44.17,48.69,"53,570","60,950","75,740","91,880","101,270",,
221111,Hydroelectric Power Generation,17-3023,Electrical and Electronics Engineering Technicians,detailed,150,49.3,2.70,7,37.80,"78,620",5.5,26.92,31.26,39.05,45.50,49.09,"56,000","65,010","81,220","94,630","102,110",,
221111,Hydroelectric Power Generation,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,30,48.2,0.59,2,27.68,"57,580",7.3,20.96,25.10,27.88,30.66,35.66,"43,590","52,210","57,990","63,780","74,180",,
221111,Hydroelectric Power Generation,19-0000,"Life, Physical, and Social Science Occupations",major,120,16.1,2.19,4,38.59,"80,270",5.7,19.16,28.29,38.15,50.45,58.55,"39,850","58,840","79,360","104,940","121,790",,
221111,Hydroelectric Power Generation,19-2000,Physical Scientists,minor,70,20.6,1.17,~,41.14,"85,570",3.4,27.02,32.53,39.35,51.33,59.28,"56,200","67,670","81,860","106,760","123,310",,
221111,Hydroelectric Power Generation,19-2040,Environmental Scientists and Geoscientists,broad,60,22.1,1.04,~,40.23,"83,670",3.7,26.49,31.83,37.72,51.01,59.13,"55,110","66,210","78,450","106,110","122,990",,
221111,Hydroelectric Power Generation,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,50,23.2,0.98,1,39.80,"82,790",3.6,26.50,31.93,37.47,48.49,58.59,"55,110","66,420","77,940","100,860","121,860",,
221111,Hydroelectric Power Generation,19-4000,"Life, Physical, and Social Science Technicians",minor,50,31.9,0.90,~,35.36,"73,550",10.0,16.79,20.50,35.03,49.97,57.98,"34,920","42,640","72,850","103,930","120,600",,
221111,Hydroelectric Power Generation,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,40,15.6,0.63,2,18.86,"39,230",7.4,12.74,14.54,18.57,22.61,26.80,"26,500","30,250","38,640","47,030","55,740",,
